Date received,Product,Company,State,Complaint Text
2025-04-10 00:00:00,Credit card,"UPGRADE, INC.",CA,"On XX/XX/year>, I disabled auto-pay across all of my Upgrade accounts and received an email confirming auto-pay was disabled. Then on XX/XX/year>, I received an email that a payment was scheduled for auto-debit from my checking account despite me stopping auto-pay. I contacted upgrade again and was assured that this would be corrected. Then today, I logged in to pay my bill ( which was due today ) only to find that it had been auto-debited and in my account it clearly shows auto-pay as disabled. I have no confidence that they will not continue to do this. I did contact customer support who advised me that the autopay disable process was not completed on their end and that it would be another 3-5 days to resolve. If this was the first time, I could understand, but I have lost faith in the integrity of this company. I have never made a late payment, there is no justification for this."
2025-09-23 00:00:00,Credit card,"CITIBANK, N.A.",IL,"I am filing this complaint against Citibank due to what I believe is an unfair and intentionally damaging action to my credit profile. Citibank recommended that I open a 0 % interest balance transfer credit card to manage and consolidate my debt a strategy suggested by their own customer service team and supported by their online promotional tools. 

Shortly after following this advice and transferring approximately {$5000.00} onto the new card, Citibank suddenly and without clear explanation reduced the credit limit on XXXX of my existing Citibank credit cards by almost exactly the same amount. 

This action caused a substantial increase in my credit utilization ratio, which directly harmed my XXXX XXXX. It appears retaliatory or algorithmically timed to neutralize the benefit of the balance transfer, rendering the credit strategy useless. This feels predatory, deceptive, and unethical especially after I followed a path they recommended. 

I am requesting the CFPB compel Citibank to fully investigate these actions, review the timing of my limit reduction in relation to the balance transfer, and explain their justification in writing. 

I am not providing documentation, because it is XXXX responsibility to investigate their own internal records and account history, which will clearly show the timing and amounts involved. I want a written explanation and an appropriate corrective action if found to be predatory or retaliatory."
2025-08-19 00:00:00,Credit card,WELLS FARGO & COMPANY,MT,"I procured a XXXX XXXX general use Credit card through Wells Fargo and activated the card on XX/XX/XXXX. I have excellent credit ( over XXXX ) and have NO debt at all. I chose to use the new card to pre-pay for some hotel rooms I had booked on XX/XX/XXXX through XXXX. ( I have XXXX XXXX of hotels booked and reserved those reservations with a different card and booked them early because of the deep discounts offered by booking so far ahead. My trip is from XX/XX/XXXX to XX/XX/XXXX. ) I used the card with XXXX on XX/XX/XXXX to pay for XXXX of my hotel reservations and the charge was denied. I thought it was a mistake so I tried immediately to use it again. It was denied a second time. I then called Wells Fargo and asked them why the card was denied. They stated they thought the charge was fraudulent so they denied the charge. Then then told me they changed my settings an APPROVED the card to be used at XXXX. I returned to the website and tried to use the card and it was denied for a THIRD time. I recalled Wells Fargo and they said the previous person didn't reset the card correctly so they put me on with another department ( the XXXX dept ) and the new agent stated they approved the card ( for the second time ). I then returned to the website and chose to try to pay for a different ( and cheaper ) hotel than the one I had tried the previous 3 times... just to be sure that the card was working. The card worked for this 'second ' hotel. So I returned to pay for the original hotel, my forth attempt, and the card was denied. Again, I figured that there MUST have been some sort of transmission error ( because the previous payment went through ). The card was denied again - the XXXX time. I called Wells Fargo back again ( my third call ) and they said they had only approved the card for XXXX charge, not multiple charges. So they then told me they reset it to work again for all charges. I returned to the website yet again and tried to use the card, again for a different hotel than the hotel that had continued to be denied ( I have multiple hotels booked with XXXX for this long trip ). The card worked so I felt assured that I could try to pay for that original hotel ( my XXXX attempt ). AGAIN, the card was denied. But this time, I got a message from XXXX stating that the card was denied again because they had CANCELLED my reservation due to "" IRREGULAR CREDIT CARD ACTIVITY ''. 

I then called XXXX and I explained the issue with Wells Fargo and asked if they could reset my previous reservation. They said they couldn't honor my previous booking but I could rebook the hotel as a new reservation. But to rebook the reservation, for the exact same room type, the current charge was approximately {$350.00} more than my original reservation. 

So I called Wells Fargo again and asked them to cover the difference for the new reservation- since I lost the original reservation due to Wells Fargo mistakes. They said they don't do this but I could file a complaint, which I did. They told me to expect a call back within XXXX hours. All of this occurred on XX/XX/XXXX. 

Since XX/XX/XXXX, I have not received calls back and have called them approximately XXXX more times. I didn't keep records on the number of times I called ( but if necessary, I could get that information off of my cell phone ). Each time I called, I was told I needed to call a different department or I was connected with a different department. It was all very confusing. Several times, I was connected with the wrong department and several times, it was clear that the previous agents hadn't written my complaint down correctly, and several times the agent I was referred to stated they read my report and can't help me but when I asked them some questions about that, it was clear they actually HAD NOT adequately read my complaint. Each time I re-explained my complaint, the agents acted supportive, making vague statements about getting this resolved favorably. 

XXXX XX/XX/XXXX, I finally got a call from a Wells Fargo agent that did not initially understand the scope of the Wells Fargo mistakes but when he understood, he stated that this issue clearly needs to be resolved and he felt positive about me getting a favorable resolution. He gave me his name and direct phone number for his office. He stated that he would make a NEW case number and that someone would get back to me within XXXX hours and that if, by chance, I didn't hear from someone, I could call him directly. I waited XXXX hours and tried to call him back directly ( on XX/XX/XXXX ). The number he gave me was a NON-WORKING number ( a number I had repeated back to him to insure I got it written down correctly ). So I called the main number for the complaint department and the agent I spoke to stated this person was away from his desk but she would leave a message for him to call me asap. In the afternoon of XX/XX/XXXX, I had not heard back from him so I called the Complaint Line again. Again the agent stated he was away from his desk but they would leave a message to call me asap as he would be back promptly. I waited a few hours and did not hear back so I called the Complaint Line again. This time, the agent told me that my CASE was closed and the names on the closure documents was this fellow I had spoken with on XX/XX/XXXX and another person. So this new agent said there is nothing she could do for me and there is no further for me to go. I asked to file another complaint. She allowed me to do this but did state that this complaint will be considered 'new ' and it would be XXXX to XXXX XXXX before I hear from anyone. 

My complaint with you is about the unprofessional and dismissive treatment I received from Wells Fargo, that included a lot of incompetency. As a result of these practices, I no longer have a reservation at the hotel I wanted to stay at in XXXX ( I won't rebook it at the higher rate because it's now out of my budget... and the price for the hotel goes up each day as it gets closer to my planned arrival date. For example, today the price for the same room was over {$400.00} ). 

I am just a regular person. I am not a big business or an individual with deep pockets who would be a desired customer for Wells Fargo. What I am asking for is CLEARLY for Wells Fargo to take responsibility for how their incompetency led a small customer like me to be put in a position to pay significantly more for a hotel reservation. I am the victim/recipient of their incompetency. I do not have any copies of anything Wells Fargo wrote down about my phone calls, but I do believe they have records of the amount of times I called and the general information about why I called. Also, when I spoke with XXXX, they have a time stamped record of EVERY time the credit card was denied ( that are synchronized with the times I called Wells Fargo ) but I do not have copies of these records. I could try to get those if it would be helpful. 
I know this document is long but the details are important because they clearly demonstrate how Wells Fargo dismissed, misled and mishandled my situation. I will pay off the balance on my XXXX XXXX and then cancel the card. And I will never engage in any business with Wells Fargo again. What is sad about this is that, their loss of my business will NOT impact them at all. I, as a simple customer, don't matter so there is no incentive for them to resolve these small budget issues with me. I have no power with them and they're not in the business of caring XXXXfor the regular person '."
2023-04-20 00:00:00,Credit card or prepaid card,GOLDMAN SACHS BANK USA,CA,"It all started at the beginning of the year, some time around XX/XX/2023. I placed an order for a really expensive pair of shoes through the XXXX  app which i have used several times. Everything seemed fine until I noticed the delivery system said my package would arrive a couple days early but that was not the case. I never received the package and the delivery system changed the date for two days out. I was a little annoyed but it was fine I could wait an extra day or two but when the day came I got an email telling me my shoes were delivered but I never found a package at my door. I thought you would have to sign for an expensive pair of shoes valued at over {$2500.00} but I guess not. I contacted XXXX immediately and they told me to wait 3 days and contact them again. So I waited those 3 days and still got nothing and contacted them again which they then requested I fill out an affidavit or file a police report to initiate the claim. I told them I had the right to refuse to fill out an affidavit and police report countless times and they still insisted I fill one out to get my money back. They have held my money for months now unless I file one which sounds totally illegal by the way. I then told XXXX  I will file a dispute with my credit card since they want to hold my money for ransom and they proceeded to tell me they have already filed a claim with the carrier and they will work with my bank to figure this out. ( I thought they needed my to fill out a police report or an affidavit to initiate the claim... are they pocketing the insurance money and my money? ). 3 months later I finally get news that my credit card sided with XXXX  and will not refund me my money. I then requested the documents and evidence from them like the email stated I had a right too and they haven't sent me a single document so far. I made them re-dispute the claim but I have no faith for them doing the right thing."
2023-07-10 00:00:00,Credit card or prepaid card,Comerica,FL,"I checked my balance online and it was about {$50.00} less than I expected. When I finally got through to an agent ( more on that aspect later ), I was notified of a {$49.00} fraudulent charge to my account. The reason I immediately knew the charge was fraudulent is I have never used the card to pay a bill online. Before I could write down the entity from where the charge originated, the agent suggested that my card could be compromised and I should order a new one, which I did. She then said she was transferring my call to the dept. whereas I could dispute the charge. After being on hold for about XXXX min, the exact same woman came back on the line ( I recognized her voice ) pretending that she couldn't hear me and hung up the phone. Now this is what led me to believe the card company itself if involved in systematic fraud : once you order a new card, you can no longer access the network using the number from the old card. You can access your account using your SS number but you only get access to a menu that doesn't include any option that allows you to speak to anyone. So once the crooked agent hung the phone, she cut off all means for me to re-connect with her. Furthermore, I suspect these XXXX are systematically stealing benefits from old XXXX by erecting roadblocks to complaining about suspicious deductions. For example : when you call customer service, you're prompted to enter the last XXXX numbers of your card and your pin but once you do that, all you get is your balance. The only way to access the menu is to NOT follow the prompts ... but they never tell you that. Why? Something doesn't smell right and I think XXXX should look into XXXX"
2024-02-16 00:00:00,Credit card,JPMORGAN CHASE & CO.,NC,A chase credit card or loan was applied for in my name and I did not authorize this. Their fraud department did contact me. I just need to report this issue.
2026-03-23 00:00:00,Credit card,AMERICAN EXPRESS COMPANY,TX,"I made an online purchase with my Amex card that turned out to be a scam.

The seller was to provide 3 projector lamps, but I received blocks of plastic that do not project.

I asked seller to provide return shipping and they are unresponsive. 

Amex refuses to handle dispute, so I will end my 10 year relationship over their support of the scammer."
2023-01-20 00:00:00,Credit card or prepaid card,DISCOVER BANK,FL,On XX/XX/2022 I was looking over my credit report and see that there have been incorrect and refuse to assist me by removing this creditor off my credit report. I contacted them through phone and mail informing them that I have been a victim of identity theft. I advised them to remove it asap and received a letter yesterday with this information.
2024-02-06 00:00:00,Credit card,BARCLAYS BANK DELAWARE,GA,"XXXX XXXX XXXX XXXX XXXX XXXX XXXXXXXX XXXX XXXXXXXX XXXX, GA XXXX SSN : XXXX DOB : XX/XX/XXXX XX/XX/XXXXXXXX Barclays Bank Delaware Card Services XXXX XXXX XXXX XXXX, XXXX XXXX DE XXXX Subject : Demand for Arbitration Dear Barclays Bank , I am writing to formally demand arbitration regarding the dispute related to CONTRACT, billing errors under the terms of our contract ( balance owed and reported ) INACCURATE Date of Last Activity : XXXX XXXX. 

In accordance with the arbitration clause detailed in our agreement, I propose initiating the arbitration process to amicably resolve this issue. 

Please acknowledge this letter and inform me about the next steps in accordance with our agreement and applicable laws. Failure to respond within 14 DAYS will compel me to seek further legal action. 

I look forward to a prompt resolution. 

Sincerely, XXXX XXXX XXXX XXXX"
2024-05-08 00:00:00,Credit card,TRUIST FINANCIAL CORPORATION,GA,"I purchased a desk on XXXX in the amount of XXXX on XX/XX/year> and this desk was shipped by XXXX. The delivery driver mistakenly delivered it to the wrong address on XX/XX/year> and there was no building number or door letter visible in the delivery photo for me to decipher where the desk went. I attempted to dispute this with XXXX ( merchant ) and they refused to honor the XXXX money back guarantee for the circumstance when I contacted them. I reached out to XXXX to see if they can contact the delivery driver to determine where the package was delivered so that they could reimburse me and the XXXX investigation determined that all research efforts have been exhausted. This shipment has not been located. I reached out to truist bank for this to be resolved and initially requested that this dispute form be emailed as I travel for work. They did not send this form to me. Instead they mailed it and it was received later than expected. I called over XXXX times in the span of XXXX weeks to have this document emailed, the initial step in the process. I have since filled out this paperwork and have asked for several updates on it and no one has anything to offer. The charge is still on the card and there is no contact from truist or the XXXX. I am at my wits end with truist and need my money back."
2024-10-21 00:00:00,Credit card,BARCLAYS BANK DELAWARE,FL,"In XXXX, XXXX. I contacted XXXX credit card due to having medical issues.to I was told my only option was to use their hardship program. Unknown to me I was under the assumption that the payments would be reduced. However, when I tried accessing my account online the company 's website does not allow me to do so. Asks me to reset password, then when doing so still denies me access. At this point I am unable to see any information on my balance, payment activity. 
My understanding this reduction in payment was to be temporary status. However in calling them on XX/XX/XXXX. I was told by the company 's rep XXXX that I no longer have access to my online credit card information as the "" Account is closed ''. I never authorized the closing of this account when we discussed the hardship program. 
I was transferred to the XXXX XXXX XXXX XXXX me I have no access to my information. That the only notice will be sent by email with balance and due date. If I want to make changes on my account I need to call up to the company for them by phone to make changes. So literally this company due to make hardship status is trying to strip me of having any dignity. Because the close the account, close your online access with an outstanding balance, and limit you with rights to make changes. 
This company is unfair to consumers in need of assistance. I spoke to a Manager XXXX in collection and he agreed my account has limited control. Which is NO control. This hardship program is terrible. This company needs to modify it. I had no payment problems until XXXX to XXXX months ago. And asked for relief for XXXX months not a year. And never would have just Closed my account. 
I have attached screen shots of me attempt to access my online account with XXXX XXXX. If they are doing this to me- I can only imagine the other customers experiencing the same issue. This is unfair and takes person 's rights and dignity away."
2023-06-24 00:00:00,Credit card or prepaid card,JPMORGAN CHASE & CO.,FL,"I would like to warn the general public and report Chase bank about mishandling of disputes resolution. A purchase was made on a Chase card on XX/XX/2023. The merchant was unable to fulfill the order and did not ship the order. Merchant distributed a statement to affected customers stating the orders were not fulfilled and that the payment processor was not letting them issue a refund. To please charge back with the bank due to this. Thinking it was a simple process, I contacted Chase and initiated the dispute for goods not received on XX/XX/2023. The payment processor ( not the merchant ) sent an automatic reply to Chase on XX/XX/2023 with order information. No record or order being fulfilled, shipped or delivered. I contacted Chase on XX/XX/2023 and explained once again that nothing was fulfilled, shipped or delivered, and that the actual merchant had acknowledged this and communicated it to all affected customers. I submitted the documentation I had ( receipt and the pdf document from the merchant ) and was told that it was more than enough since it was clear I was right. After numerous calls for updates throughout XXXX, XXXX and XXXX, and without receiving any request for information or clarification from Chase, I found out Chase is denying my claim. I would like to warn the government and every possible customer of Chase that what they state in their website about purchase protection and having your back is just a marketing plot. If you ever need them to have your back youll see yourself footing the bill and scammed."
2025-04-01 00:00:00,Credit card,CAPITAL ONE FINANCIAL CORPORATION,WA,"Subject : Dispute of Late Fee Due to Verified Autopay Setup Error To Whom It May Concern, I am writing to formally dispute a late fee that was applied to my Capital One credit card account, despite having set up automatic payments prior to the due date. 

Before the payment was due, I enrolled in autopay and added my bank account information. The account was verified and confirmed as valid by Capital Ones system. However, the payment was canceled due to a supposed invalid account number, which is confusing and concerning, given that the account had already been verified. 

As a result of this cancellation, I was charged a late fee. I believe this fee is unjustified, as I took all reasonable and required steps to ensure timely payment. If there was any error in processing, it occurred on Capital Ones end and not mine. 

I respectfully request that the late fee be removed from my account and that my credit report not be negatively impacted by this situation. I would appreciate written confirmation once this matter has been resolved. 

Thank you. 

Sincerely, XXXX XXXX XXXX XXXX Digits of XXXX XXXX : XXXX XXXX XXXX XXXX"
2024-05-23 00:00:00,Credit card,"EQUIFAX, INC.",FL,"I have consistently made timely payments on this account, ensuring they never became overdue. I'm puzzled as to why there are reports of late payments on my accounts. According to 15 USC 1666b, this billing error should be corrected."
